200 1990
1 26 1
1 37 1
1 55 1
1 64 1
1 76 1
1 111 1
1 144 1
1 149 1
1 150 1
1 158 1
1 167 1
1 172 1
1 192 1
1 200 1
2 17 1
2 36 1
2 37 1
2 48 1
2 69 1
2 77 1
2 79 1
2 82 1
2 99 1
2 100 1
2 110 1
2 111 1
2 118 1
2 129 1
2 131 1
2 141 1
2 146 1
2 151 1
2 159 1
2 160 1
2 166 1
2 168 1
2 172 1
2 186 1
2 199 1
3 7 1
3 11 1
3 15 1
3 16 1
3 19 1
3 21 1
3 22 1
3 34 1
3 80 1
3 88 1
3 105 1
3 117 1
3 142 1
3 151 1
3 162 1
3 198 1
4 12 1
4 20 1
4 25 1
4 26 1
4 30 1
4 33 1
4 35 1
4 40 1
4 49 1
4 73 1
4 76 1
4 78 1
4 85 1
4 91 1
4 94 1
4 104 1
4 105 1
4 113 1
4 128 1
4 137 1
4 139 1
4 145 1
4 146 1
4 157 1
4 161 1
4 175 1
4 199 1
5 8 1
5 22 1
5 29 1
5 32 1
5 37 1
5 53 1
5 98 1
5 100 1
5 103 1
5 104 1
5 132 1
5 136 1
5 142 1
5 148 1
5 149 1
5 152 1
5 171 1
5 172 1
5 173 1
5 174 1
5 186 1
5 189 1
5 191 1
6 16 1
6 29 1
6 32 1
6 43 1
6 68 1
6 70 1
6 75 1
6 80 1
6 97 1
6 106 1
6 125 1
6 140 1
6 142 1
6 151 1
6 153 1
6 168 1
6 176 1
7 10 1
7 11 1
7 20 1
7 32 1
7 41 1
7 42 1
7 43 1
7 51 1
7 70 1
7 73 1
7 77 1
7 85 1
7 97 1
7 108 1
7 117 1
7 138 1
7 145 1
7 150 1
7 162 1
7 171 1
7 172 1
7 182 1
7 189 1
8 20 1
8 23 1
8 26 1
8 30 1
8 43 1
8 62 1
8 65 1
8 78 1
8 79 1
8 90 1
8 126 1
8 130 1
8 136 1
8 147 1
8 168 1
8 169 1
8 171 1
8 173 1
8 189 1
9 10 1
9 14 1
9 16 1
9 22 1
9 28 1
9 33 1
9 44 1
9 57 1
9 64 1
9 82 1
9 132 1
9 135 1
9 139 1
9 154 1
9 156 1
9 182 1
9 186 1
9 197 1
10 14 1
10 18 1
10 25 1
10 26 1
10 31 1
10 32 1
10 39 1
10 41 1
10 46 1
10 68 1
10 78 1
10 82 1
10 86 1
10 88 1
10 94 1
10 119 1
10 124 1
10 131 1
10 133 1
10 142 1
10 146 1
10 163 1
10 164 1
10 196 1
10 199 1
11 19 1
11 46 1
11 68 1
11 78 1
11 89 1
11 96 1
11 114 1
11 115 1
11 116 1
11 146 1
11 164 1
11 167 1
11 171 1
11 174 1
11 180 1
11 181 1
11 182 1
11 184 1
11 189 1
11 197 1
12 31 1
12 38 1
12 46 1
12 48 1
12 72 1
12 75 1
12 80 1
12 102 1
12 130 1
12 140 1
12 151 1
12 152 1
12 162 1
12 166 1
12 196 1
13 24 1
13 26 1
13 35 1
13 41 1
13 46 1
13 49 1
13 64 1
13 88 1
13 111 1
13 127 1
13 146 1
13 172 1
13 182 1
14 34 1
14 44 1
14 47 1
14 49 1
14 59 1
14 120 1
14 127 1
14 134 1
14 140 1
14 156 1
14 168 1
14 185 1
14 189 1
14 194 1
15 23 1
15 44 1
15 48 1
15 59 1
15 66 1
15 85 1
15 97 1
15 98 1
15 99 1
15 122 1
15 125 1
15 126 1
15 131 1
15 138 1
15 160 1
15 184 1
15 189 1
15 200 1
16 26 1
16 33 1
16 50 1
16 54 1
16 71 1
16 75 1
16 111 1
16 112 1
16 116 1
16 131 1
16 145 1
16 170 1
16 175 1
16 181 1
16 187 1
16 199 1
16 200 1
17 31 1
17 36 1
17 54 1
17 66 1
17 69 1
17 86 1
17 88 1
17 92 1
17 97 1
17 103 1
17 124 1
17 125 1
17 131 1
17 137 1
17 154 1
17 155 1
17 165 1
17 186 1
17 187 1
17 197 1
17 199 1
18 36 1
18 49 1
18 60 1
18 76 1
18 78 1
18 86 1
18 90 1
18 94 1
18 98 1
18 117 1
18 135 1
18 156 1
18 157 1
18 158 1
18 170 1
19 24 1
19 42 1
19 48 1
19 55 1
19 60 1
19 63 1
19 80 1
19 90 1
19 101 1
19 102 1
19 125 1
19 130 1
19 150 1
19 158 1
19 162 1
19 200 1
20 31 1
20 35 1
20 37 1
20 65 1
20 67 1
20 68 1
20 78 1
20 80 1
20 81 1
20 86 1
20 99 1
20 108 1
20 116 1
20 119 1
20 125 1
20 131 1
20 142 1
20 146 1
20 147 1
20 155 1
20 184 1
20 191 1
20 200 1
21 22 1
21 28 1
21 31 1
21 32 1
21 46 1
21 49 1
21 56 1
21 105 1
21 109 1
21 132 1
21 196 1
22 23 1
22 46 1
22 53 1
22 75 1
22 78 1
22 104 1
22 105 1
22 122 1
22 146 1
22 159 1
22 164 1
22 174 1
22 175 1
22 179 1
22 180 1
22 184 1
22 194 1
22 197 1
23 25 1
23 31 1
23 39 1
23 41 1
23 44 1
23 60 1
23 63 1
23 68 1
23 95 1
23 96 1
23 108 1
23 112 1
23 114 1
23 121 1
23 124 1
23 125 1
23 129 1
23 131 1
23 157 1
23 159 1
23 162 1
23 164 1
23 173 1
23 177 1
23 180 1
23 181 1
23 184 1
23 185 1
24 27 1
24 28 1
24 33 1
24 35 1
24 37 1
24 60 1
24 61 1
24 62 1
24 76 1
24 87 1
24 108 1
24 114 1
24 123 1
24 124 1
24 128 1
24 137 1
24 144 1
24 146 1
24 165 1
24 178 1
24 188 1
24 195 1
24 198 1
24 199 1
25 37 1
25 38 1
25 40 1
25 49 1
25 52 1
25 54 1
25 57 1
25 87 1
25 101 1
25 103 1
25 109 1
25 118 1
25 122 1
25 126 1
25 134 1
25 136 1
25 148 1
25 157 1
25 173 1
25 181 1
25 183 1
25 189 1
25 190 1
26 29 1
26 40 1
26 55 1
26 56 1
26 61 1
26 65 1
26 75 1
26 90 1
26 102 1
26 115 1
26 118 1
26 127 1
26 130 1
26 133 1
26 140 1
26 150 1
26 154 1
26 165 1
26 172 1
26 185 1
26 200 1
27 38 1
27 48 1
27 54 1
27 55 1
27 94 1
27 97 1
27 114 1
27 136 1
27 139 1
27 141 1
27 142 1
27 148 1
27 157 1
27 172 1
27 188 1
28 32 1
28 33 1
28 37 1
28 39 1
28 56 1
28 85 1
28 88 1
28 93 1
28 95 1
28 111 1
28 137 1
28 138 1
28 180 1
28 194 1
29 35 1
29 39 1
29 47 1
29 48 1
29 57 1
29 77 1
29 82 1
29 85 1
29 88 1
29 102 1
29 106 1
29 111 1
29 130 1
29 168 1
29 169 1
29 182 1
30 32 1
30 47 1
30 53 1
30 54 1
30 59 1
30 71 1
30 98 1
30 102 1
30 109 1
30 112 1
30 120 1
30 122 1
30 126 1
30 128 1
30 142 1
30 152 1
30 167 1
30 178 1
31 54 1
31 79 1
31 86 1
31 96 1
31 102 1
31 123 1
31 130 1
31 160 1
31 166 1
31 175 1
31 191 1
31 200 1
32 34 1
32 43 1
32 48 1
32 57 1
32 67 1
32 69 1
32 77 1
32 89 1
32 109 1
32 129 1
32 143 1
32 144 1
32 156 1
32 165 1
32 166 1
32 194 1
32 195 1
33 40 1
33 58 1
33 68 1
33 72 1
33 87 1
33 101 1
33 127 1
33 148 1
33 155 1
33 179 1
33 185 1
33 188 1
33 195 1
34 46 1
34 47 1
34 49 1
34 51 1
34 65 1
34 66 1
34 91 1
34 96 1
34 110 1
34 117 1
34 128 1
34 141 1
34 144 1
34 162 1
34 187 1
34 194 1
35 40 1
35 54 1
35 57 1
35 61 1
35 75 1
35 80 1
35 84 1
35 92 1
35 136 1
35 141 1
35 149 1
35 152 1
35 158 1
35 161 1
35 173 1
35 181 1
35 191 1
35 196 1
36 42 1
36 45 1
36 83 1
36 85 1
36 87 1
36 100 1
36 110 1
36 115 1
36 118 1
36 134 1
36 160 1
36 167 1
36 171 1
36 176 1
36 186 1
36 196 1
37 45 1
37 58 1
37 70 1
37 71 1
37 98 1
37 100 1
37 107 1
37 115 1
37 123 1
37 140 1
37 142 1
37 150 1
37 178 1
37 182 1
37 185 1
38 44 1
38 54 1
38 60 1
38 75 1
38 82 1
38 92 1
38 95 1
38 102 1
38 106 1
38 117 1
38 124 1
38 127 1
38 138 1
38 139 1
38 148 1
38 158 1
39 60 1
39 108 1
39 112 1
39 143 1
39 147 1
39 163 1
39 165 1
39 167 1
39 175 1
39 196 1
39 199 1
40 47 1
40 48 1
40 54 1
40 70 1
40 80 1
40 87 1
40 108 1
40 118 1
40 130 1
40 140 1
40 144 1
40 145 1
40 167 1
40 177 1
40 179 1
40 184 1
40 185 1
40 187 1
41 46 1
41 49 1
41 52 1
41 53 1
41 68 1
41 94 1
41 102 1
41 103 1
41 108 1
41 112 1
41 124 1
41 127 1
41 136 1
41 139 1
41 149 1
41 155 1
41 170 1
41 180 1
41 193 1
41 195 1
42 59 1
42 62 1
42 70 1
42 71 1
42 88 1
42 95 1
42 101 1
42 107 1
42 117 1
42 124 1
42 134 1
42 146 1
42 147 1
42 148 1
42 150 1
42 176 1
42 177 1
42 181 1
42 185 1
42 189 1
42 192 1
43 54 1
43 59 1
43 64 1
43 72 1
43 82 1
43 83 1
43 91 1
43 94 1
43 101 1
43 111 1
43 120 1
44 48 1
44 51 1
44 78 1
44 82 1
44 91 1
44 112 1
44 129 1
44 140 1
44 154 1
44 156 1
44 165 1
44 173 1
44 174 1
44 179 1
44 185 1
44 190 1
44 199 1
45 64 1
45 81 1
45 94 1
45 143 1
45 150 1
45 167 1
45 170 1
45 171 1
45 175 1
45 200 1
46 66 1
46 70 1
46 82 1
46 83 1
46 96 1
46 102 1
46 135 1
46 137 1
46 148 1
46 166 1
46 171 1
47 64 1
47 67 1
47 73 1
47 74 1
47 95 1
47 107 1
47 122 1
47 135 1
47 142 1
47 147 1
47 148 1
47 153 1
47 154 1
47 165 1
47 177 1
47 198 1
47 200 1
48 54 1
48 76 1
48 78 1
48 85 1
48 91 1
48 97 1
48 98 1
48 105 1
48 111 1
48 125 1
48 138 1
48 141 1
48 161 1
48 174 1
48 175 1
48 176 1
48 184 1
48 186 1
48 188 1
48 191 1
48 193 1
48 199 1
48 200 1
49 53 1
49 66 1
49 76 1
49 81 1
49 86 1
49 108 1
49 112 1
49 117 1
49 119 1
49 124 1
49 126 1
49 127 1
49 128 1
49 136 1
49 144 1
49 149 1
49 151 1
49 154 1
49 191 1
49 199 1
50 60 1
50 62 1
50 79 1
50 85 1
50 115 1
50 141 1
50 145 1
50 147 1
50 176 1
50 190 1
51 61 1
51 66 1
51 79 1
51 81 1
51 98 1
51 106 1
51 117 1
51 120 1
51 128 1
51 158 1
51 160 1
51 164 1
51 187 1
52 71 1
52 76 1
52 81 1
52 88 1
52 99 1
52 113 1
52 117 1
52 118 1
52 136 1
52 155 1
52 161 1
52 185 1
52 196 1
53 56 1
53 60 1
53 63 1
53 73 1
53 77 1
53 88 1
53 90 1
53 96 1
53 100 1
53 106 1
53 113 1
53 115 1
53 116 1
53 125 1
53 127 1
53 144 1
53 148 1
53 150 1
53 151 1
53 167 1
53 192 1
54 67 1
54 75 1
54 81 1
54 88 1
54 113 1
54 125 1
54 126 1
54 138 1
54 139 1
54 151 1
54 163 1
54 177 1
54 182 1
54 184 1
54 189 1
54 192 1
54 193 1
55 75 1
55 82 1
55 85 1
55 135 1
55 143 1
55 158 1
55 159 1
55 180 1
55 182 1
55 190 1
55 192 1
55 199 1
56 70 1
56 107 1
56 108 1
56 113 1
56 117 1
56 118 1
56 125 1
56 128 1
56 130 1
56 138 1
56 142 1
56 174 1
56 186 1
57 81 1
57 82 1
57 90 1
57 93 1
57 111 1
57 113 1
57 127 1
57 143 1
57 144 1
57 153 1
57 162 1
57 185 1
57 187 1
57 188 1
57 189 1
57 191 1
57 192 1
57 196 1
58 61 1
58 78 1
58 79 1
58 144 1
58 148 1
58 174 1
58 182 1
